"","Group.1","team.perfo","qual","grp.nbr","thinkstyle"
"V1","MLE1","3.666667","bad","1",4
"V2","MLE2","4.000000","bad","2",2
"V3","MLE3","7.000000","average","3",2
"V4","MLE4","7.000000","average","4",NA
"V5","MLE5","7.500000","average","5",NA
"V6","MLE6","7.750000","average","6",NA
"V7","MLE7","7.305556","average","7",5
"V8","MLE8","6.285714","bad","8",4.5
"V9","MLE9","7.500000","average","9",NA
"V10","MLE10","9.958333","good","10",NA
"V11","MLE11","7.750000","average","11",NA
"V12","MLE12","7.000000","average","12",NA
"V13","MLE13","8.250000","good","13",4
"V14","MLE14","8.666667","good","14",4
"V15","MLE15","8.666667","good","15",3.66666666666667
"V16","MLE16","7.125000","average","16",NA
"V17","MLE17","7.500000","average","17",NA
"V18","MLE18","7.277778","average","18",3.66666666666667
"V19","MLE19","6.150000","bad","19",3
"V20","MLE20","7.666667","average","20",3
"V21","MLE21",NA,NA,"21",NA
"V22","MLE22","8.375000","good","22",4
"V23","MLE23","8.750000","good","23",3.33333333333333
"V24","MLE24","8.285714","good","24",5
"V25","MLE25","8.250000","good","25",3
"V26","MLE26","8.000000","good","26",3
"V27","MLE27","7.750000","average","27",3
"V28","MLE28","8.000000","good","28",NA
